Section,Query #,Query Text,k parameter,Response #,Response Text
A,1,What is the academic integrity policy?,5,1,"involving alleged violations of the University Policy on Academic Integrity, the following procedures apply:"
A,1,What is the academic integrity policy?,5,2,"of the University Policy on Academic Integrity including cheating, plagiarism, and unauthorized assistance. • Academic Integrity Liaison: Each department designates an individual who is trained by the Office of Community Standards and Integrity to provide guidance to course instructors in cases of alleged violations of the University Policy on Academic"
A,1,What is the academic integrity policy?,5,3,"academic integrity of our community. The Word provides a list of policies students are expected to uphold and the process by which violations will be addressed. Policies and procedures may be established or amended as necessary during the course of the academic year, which will become effective immediately upon notification"
A,1,What is the academic integrity policy?,5,4,"when any student violates the University Policy on Academic Integrity including cheating, plagiarism and unauthorized assistance. Academic Integrity Policy Students at Carnegie Mellon are engaged in intellectual activity consistent with the highest standards of the academy. The relationship between students and instructors and their shared commitment to overarching standards of"
A,1,What is the academic integrity policy?,5,5,Integrity Academic integrity refers to the implicit commitment that every member makes to all others in the community to practice those principles that underlie the mission of the university and define academic integrity. These are: honesty and good faith; clarity in the communication of core values; professional conduct of work;
A,2,How is cheating defined in the policy?,5,1,"to seek additional information and clarification. Policy Violations Cheating occurs when a student avails her/himself of an unfair or disallowed advantage which includes but is not limited to: 1. Theft of or unauthorized access to an exam, answer key or other graded work from previous course offerings. 2. Use of"
A,2,How is cheating defined in the policy?,5,2,"citation and acknowledgement within each course. Students likewise have a duty to ensure that they understand and abide by the standards that apply in any course or academic activity. In the absence of such understanding, it is the student’s responsibility to seek additional information and clarification. Policy Violations Cheating occurs"
A,2,How is cheating defined in the policy?,5,3,"Policy, the conduct described in the Final Rule shall be referred to as “Federal Rule Sexual Misconduct.” Federal Rule Sexual Misconduct is defined as follows: • Federal Rule Sexual Misconduct — A subset of Prohibited Conduct that rises to a level of severity and pervasiveness such that it is prohibited"
A,2,How is cheating defined in the policy?,5,4,"when any student violates the University Policy on Academic Integrity including cheating, plagiarism and unauthorized assistance. Academic Integrity Policy Students at Carnegie Mellon are engaged in intellectual activity consistent with the highest standards of the academy. The relationship between students and instructors and their shared commitment to overarching standards of"
A,2,How is cheating defined in the policy?,5,5,and prudent actions to prevent or stop such behavior. The Interim Sexual Misconduct Policy (“Policy”) prohibits the types of misconduct listed below and defined in Section IX (also referred to collectively as “Prohibited Conduct”): • Sexual Assault; • Sexual Exploitation; • Sexual Harassment; • Stalking; • Dating Violence; • Domestic
A,3,What is the policy for improper or illegal communications?,5,1,"constitutes a “fair use” may consult the Office of the General Counsel for advice. Improper/Illegal Communications Any communications that would be improper or illegal on any other medium are equally so on the computer: libelous material, obscene messages, harassment, forgery, threats, etc. However, this is not intended to restrict the"
A,3,What is the policy for improper or illegal communications?,5,2,report violations or suspected violations of this policy.
A,3,What is the policy for improper or illegal communications?,5,3,"• Sexual Harassment; • Stalking; • Dating Violence; • Domestic Violence; • Retaliation; and • Violation of Protective Measures. This Policy is intended to: (1) prevent, eliminate and remedy the effects of Prohibited Conduct; (2) foster an environment where all individuals are well-informed and supported in reporting Prohibited Conduct; and"
A,3,What is the policy for improper or illegal communications?,5,4,"of an ongoing investigation by the University. Violation of any aspect of this policy is a sanctionable offense. When possible, staff members will be informed about the issuance of court orders, or other intrusions into their electronic data. In cases where a staff member believes that electronic data in their"
A,3,What is the policy for improper or illegal communications?,5,5,"• Advertising commercial businesses or ventures on Web pages hosted by Carnegie Mellon, unless prior authorization has been granted. • Using mail messages to harass or intimidate another person (such as by repeatedly sending unwanted mail or broadcasting unsolicited mail). • Violations of any local, state or federal laws, such"
A,4,What are CMU’s quiet hours?,5,1,"184 in effect until the night before classes resume. Courtesy hours exist at all other times, during which the right of residents to live in an environment free from bothersome noise should be respected. ""Quiet"" is defined as being unable to hear any noise at a distance of 10 feet"
A,4,What are CMU’s quiet hours?,5,2,"for an extension of the university’s current quiet hours policy to 24 hours. As such, residents will be responsible for ensuring that the noise generated within their apartments or residence hall room is not audible at a distance of ten feet from their apartment or residence hall room. Common courtesy"
A,4,What are CMU’s quiet hours?,5,3,"in these buildings, and to all residents in the surrounding area, that resident students will act with the highest degree of common courtesy and respect for others in maintaining a particularly quiet and unobtrusive environment. This designation includes a provision for an extension of the university’s current quiet hours policy"
A,4,What are CMU’s quiet hours?,5,4,"their social gatherings so that the noise produced by them does not infringe upon the rights of others. The established quiet hours stated above are the minimums for every residential area. If you or anyone in your living unit believes that quiet hours should be extended, contact your Resident Assistant"
A,4,What are CMU’s quiet hours?,5,5,"that quiet hours should be extended, contact your Resident Assistant (RA) or Student Dormitory Council representative. That person has the authority to conduct a vote of the people living in your area and, pending unanimous approval, extended quiet hours will be implemented. If you have concerns in relation to quiet"
A,5,Where are pets or animals allowed on CMU’s campus?,5,1,"left tied to trees or other objects on campus. In all cases the owner of the animal is responsible for the animal’s behavior and any damage caused by the animal. Except as noted below, students and their guests are not permitted to bring dogs, cats or other pets inside any"
A,5,Where are pets or animals allowed on CMU’s campus?,5,2,"permitted in the approved student’s private living space. Animals are not permitted in any public or common spaces within the residence facility, except as necessary to bring the animal into and out of the building as needed. Housing Services or the Office of Student Life may establish reasonable restrictions on"
A,5,Where are pets or animals allowed on CMU’s campus?,5,3,"permitted to bring dogs, cats or other pets inside any university buildings, including residence facilities, fraternities and sororities, classrooms, and other academic or administrative facilities. More information regarding service and emotional support animals can be found through the Office of Disability Resources. More information regarding pets and housing policies can"
A,5,Where are pets or animals allowed on CMU’s campus?,5,4,"as set forth below, pets and other animals are not permitted in any university housing facilities, including fraternities and sororities. • Fish in an aquarium no larger than five (5) gallons are permitted in university housing facilities. • Emotional support animals may be permitted within a student’s personal living space"
A,5,Where are pets or animals allowed on CMU’s campus?,5,5,permitted inside other campus buildings. See The Word. 5. Emotional support animals are not permitted in the private living spaces of other residents of the facility. 6. The student is responsible for any damages caused by the service animal or emotional support animal in the student’s private living space or
