Section,Chunking_Strategy,Query,k_parameter,Response_Rank,Search_Time_seconds,chunk_id,page_id,FAISS_distance,Response_Text
B.II,Paragraph,What is the policy for improper or illegal communications?,1,1,0.9402098655700684,p032_para001,32,0.9462771415710449,"reprimands, loss of computing privileges, course failures for students, disciplinary probation, suspension or dismissal from the university and/or criminal prosecution. Offenses that are minor or appear to be accidental in nature are often handled in a very informal manner such as through electronic mail. More serious offenses involve formal procedures pursued through the Division of Student Affairs for students, Human Resources and/or the hiring university department or administrative unit for staff, or the Faculty Review Committee for faculty. Restrictions of Privileges During Investigations During the course of an investigation of alleged inappropriate or unauthorized use, it may be necessary to temporarily suspend a user’s network or computing privileges, but only after determining there is at least a prima facie case against the individual, as well as a risk to the university or its computing resources if privileges are not revoked. In these cases, it is important to recognize that the"
B.II,Paragraph,What is the policy for improper or illegal communications?,3,1,0.02460789680480957,p032_para001,32,0.9462771415710449,"reprimands, loss of computing privileges, course failures for students, disciplinary probation, suspension or dismissal from the university and/or criminal prosecution. Offenses that are minor or appear to be accidental in nature are often handled in a very informal manner such as through electronic mail. More serious offenses involve formal procedures pursued through the Division of Student Affairs for students, Human Resources and/or the hiring university department or administrative unit for staff, or the Faculty Review Committee for faculty. Restrictions of Privileges During Investigations During the course of an investigation of alleged inappropriate or unauthorized use, it may be necessary to temporarily suspend a user’s network or computing privileges, but only after determining there is at least a prima facie case against the individual, as well as a risk to the university or its computing resources if privileges are not revoked. In these cases, it is important to recognize that the"
B.II,Paragraph,What is the policy for improper or illegal communications?,3,2,0.02460789680480957,p224_para003,224,0.9529487490653992,"filing a Formal Complaint. Thus, information shared about suspected Prohibited Conduct does not automatically trigger formal action or an investigation, as discussed below in Section VI.B. This section outlines the mechanisms for reporting and how the university will respond to information it receives. Some forms of Prohibited Conduct may also constitute crimes. The university also strongly encourages any individual who experiences, witnesses, or learns of possible criminal conduct to report them to the University Police Department or local law enforcement. Prompt reporting allows law enforcement to collect and preserve evidence. • To report in person:"
B.II,Paragraph,What is the policy for improper or illegal communications?,3,3,0.02460789680480957,p022_para003,22,0.9607867002487183,"information not created by himself or herself belongs to someone else and must respect that person’s privacy and property rights to that information. (In certain situations, even information created by the user may not belong to that user but rather to the university or others.) This policy is not intended to limit “fair use” as permitted under the Copyright Act and users having questions about whether a particular use constitutes a “fair use” may consult the Office of the General Counsel for advice. Improper/Illegal Communications Any communications that would be improper or illegal on any other medium are equally so on the computer: libelous material, obscene messages, harassment, forgery, threats, etc. However, this is not intended to restrict the free expression of ideas. Communication conducted in accordance with the university policy on Freedom of Expression and with the statement on Academic Freedom and Responsibility enunciated in the Appointment and Tenure"
B.II,Paragraph,What is the policy for improper or illegal communications?,5,1,0.019688129425048828,p032_para001,32,0.9462771415710449,"reprimands, loss of computing privileges, course failures for students, disciplinary probation, suspension or dismissal from the university and/or criminal prosecution. Offenses that are minor or appear to be accidental in nature are often handled in a very informal manner such as through electronic mail. More serious offenses involve formal procedures pursued through the Division of Student Affairs for students, Human Resources and/or the hiring university department or administrative unit for staff, or the Faculty Review Committee for faculty. Restrictions of Privileges During Investigations During the course of an investigation of alleged inappropriate or unauthorized use, it may be necessary to temporarily suspend a user’s network or computing privileges, but only after determining there is at least a prima facie case against the individual, as well as a risk to the university or its computing resources if privileges are not revoked. In these cases, it is important to recognize that the"
B.II,Paragraph,What is the policy for improper or illegal communications?,5,2,0.019688129425048828,p224_para003,224,0.9529487490653992,"filing a Formal Complaint. Thus, information shared about suspected Prohibited Conduct does not automatically trigger formal action or an investigation, as discussed below in Section VI.B. This section outlines the mechanisms for reporting and how the university will respond to information it receives. Some forms of Prohibited Conduct may also constitute crimes. The university also strongly encourages any individual who experiences, witnesses, or learns of possible criminal conduct to report them to the University Police Department or local law enforcement. Prompt reporting allows law enforcement to collect and preserve evidence. • To report in person:"
B.II,Paragraph,What is the policy for improper or illegal communications?,5,3,0.019688129425048828,p022_para003,22,0.9607867002487183,"information not created by himself or herself belongs to someone else and must respect that person’s privacy and property rights to that information. (In certain situations, even information created by the user may not belong to that user but rather to the university or others.) This policy is not intended to limit “fair use” as permitted under the Copyright Act and users having questions about whether a particular use constitutes a “fair use” may consult the Office of the General Counsel for advice. Improper/Illegal Communications Any communications that would be improper or illegal on any other medium are equally so on the computer: libelous material, obscene messages, harassment, forgery, threats, etc. However, this is not intended to restrict the free expression of ideas. Communication conducted in accordance with the university policy on Freedom of Expression and with the statement on Academic Freedom and Responsibility enunciated in the Appointment and Tenure"
B.II,Paragraph,What is the policy for improper or illegal communications?,5,4,0.019688129425048828,p232_para004,232,0.9809445738792419,"Rule Sexual Misconduct and Other Prohibited Conduct, in the event that at the time of a report or the conclusion of an investigation it becomes apparent that the alleged conduct, if true, would not constitute Federal Rule Sexual"
B.II,Paragraph,What is the policy for improper or illegal communications?,5,5,0.019688129425048828,p236_para002,236,0.9848387241363525,"Adjudication Procedures for Other Prohibited Conduct The specific procedures for adjudicating allegations of Prohibited Conduct that, if true, would not constitute Federal Rule Sexual Misconduct (i.e. Other Prohibited Conduct) are based upon the nature of the Respondent’s relationship to the university. • Where the Respondent is a Student — the matter will be handled in accordance with the university’s Student Community Standards Process, which is set forth in the Community Standards section of The Word. Appeals will also be handled in accordance with the Student Community Standards Process. • Where the Respondent is a Staff member— the Title IX Coordinator will send the Investigative Report to the Assistant Vice President, People and Organization Effectiveness, in Human Resources and the matter will be handled in accordance with the procedures set forth in the Staff Handbook, Volume II, Section 10c. • Where the Respondent is a Faculty member — the Title IX"
B.II,Paragraph,What is the policy for improper or illegal communications?,10,1,0.01828289031982422,p032_para001,32,0.9462771415710449,"reprimands, loss of computing privileges, course failures for students, disciplinary probation, suspension or dismissal from the university and/or criminal prosecution. Offenses that are minor or appear to be accidental in nature are often handled in a very informal manner such as through electronic mail. More serious offenses involve formal procedures pursued through the Division of Student Affairs for students, Human Resources and/or the hiring university department or administrative unit for staff, or the Faculty Review Committee for faculty. Restrictions of Privileges During Investigations During the course of an investigation of alleged inappropriate or unauthorized use, it may be necessary to temporarily suspend a user’s network or computing privileges, but only after determining there is at least a prima facie case against the individual, as well as a risk to the university or its computing resources if privileges are not revoked. In these cases, it is important to recognize that the"
