Section,Index_Strategy,Chunking_Strategy,Query,k_parameter,Response_Rank,Search_Time_seconds,FAISS_distance,policy_question_id,policy_question_text,attached_chunk_id,attached_page_id,Response_Text
B.III,Policy-Question Embeddings,Paragraph (from B.II),What is the policy for improper or illegal communications?,1,1,0.7084341049194336,0.7462626099586487,118,What types of communications are considered equally improper on computers as on other media?,p020_para002,20,"of computing and related communication systems and examples of inappropriate use. These standards of acceptable behavior also extend beyond the campus community into the Internet. Just as it is unacceptable to violate others’ rights to privacy, property and resources within Carnegie Mellon, it is also unacceptable to violate those rights on systems that are not at Carnegie Mellon but are accessible through Carnegie Mellon’s connection to the Internet. This policy applies to all users of Carnegie Mellon computing systems, including students, faculty and staff, and any others granted the use of university computing resources. It applies to the use of all computing facilities owned, leased, operated or contracted by Carnegie Mellon University. As used in this policy, terms such as “computing,” “computing/communications systems,” “computing resources,” etc., refer to all computers, communication systems, and peripherals, software, telephones and systems with similar"
B.III,Policy-Question Embeddings,Paragraph (from B.II),What is the policy for improper or illegal communications?,3,1,0.014188766479492188,0.7462626099586487,118,What types of communications are considered equally improper on computers as on other media?,p020_para002,20,"of computing and related communication systems and examples of inappropriate use. These standards of acceptable behavior also extend beyond the campus community into the Internet. Just as it is unacceptable to violate others’ rights to privacy, property and resources within Carnegie Mellon, it is also unacceptable to violate those rights on systems that are not at Carnegie Mellon but are accessible through Carnegie Mellon’s connection to the Internet. This policy applies to all users of Carnegie Mellon computing systems, including students, faculty and staff, and any others granted the use of university computing resources. It applies to the use of all computing facilities owned, leased, operated or contracted by Carnegie Mellon University. As used in this policy, terms such as “computing,” “computing/communications systems,” “computing resources,” etc., refer to all computers, communication systems, and peripherals, software, telephones and systems with similar"
B.III,Policy-Question Embeddings,Paragraph (from B.II),What is the policy for improper or illegal communications?,3,2,0.014188766479492188,0.8215855956077576,734,What alternative resolution options are available for Prohibited Conduct?,p238_para002,238,"state and federal law, regulations, guidance, and this Policy. F. Possible Outcomes & Sanctions from Adjudication Possible outcomes from a violation of this Policy range from educational outcomes to separation from the university. A detailed list of the possible remedies and sanctions is available in Appendix A to this Policy. G. Alternative Resolutions This Policy describes two procedures for the formal resolution of Prohibited Misconduct – a procedure for the adjudication of Federal Rule Sexual Misconduct in Section VI.C and a procedure for Other Prohibited Conduct in Section VI.E. Separate from these formal resolution procedures, the university offers several forms of alternative resolution (“Alternative Resolution”) procedures that may be available on a voluntary basis to resolve a Formal Complaint under this Policy. Individuals interested in an Alternative Resolution should contact the Office for Institutional Equity and Title IX to discuss options. For information regarding the types of Alternate Resolution procedures"
B.III,Policy-Question Embeddings,Paragraph (from B.II),What is the policy for improper or illegal communications?,3,3,0.014188766479492188,0.8963912725448608,686,Under what circumstances does prohibited conduct qualify as Federal Rule Sexual Misconduct?,p232_para004,232,"Rule Sexual Misconduct and Other Prohibited Conduct, in the event that at the time of a report or the conclusion of an investigation it becomes apparent that the alleged conduct, if true, would not constitute Federal Rule Sexual"
B.III,Policy-Question Embeddings,Paragraph (from B.II),What is the policy for improper or illegal communications?,5,1,0.011651992797851562,0.7462626099586487,118,What types of communications are considered equally improper on computers as on other media?,p020_para002,20,"of computing and related communication systems and examples of inappropriate use. These standards of acceptable behavior also extend beyond the campus community into the Internet. Just as it is unacceptable to violate others’ rights to privacy, property and resources within Carnegie Mellon, it is also unacceptable to violate those rights on systems that are not at Carnegie Mellon but are accessible through Carnegie Mellon’s connection to the Internet. This policy applies to all users of Carnegie Mellon computing systems, including students, faculty and staff, and any others granted the use of university computing resources. It applies to the use of all computing facilities owned, leased, operated or contracted by Carnegie Mellon University. As used in this policy, terms such as “computing,” “computing/communications systems,” “computing resources,” etc., refer to all computers, communication systems, and peripherals, software, telephones and systems with similar"
B.III,Policy-Question Embeddings,Paragraph (from B.II),What is the policy for improper or illegal communications?,5,2,0.011651992797851562,0.8215855956077576,734,What alternative resolution options are available for Prohibited Conduct?,p238_para002,238,"state and federal law, regulations, guidance, and this Policy. F. Possible Outcomes & Sanctions from Adjudication Possible outcomes from a violation of this Policy range from educational outcomes to separation from the university. A detailed list of the possible remedies and sanctions is available in Appendix A to this Policy. G. Alternative Resolutions This Policy describes two procedures for the formal resolution of Prohibited Misconduct – a procedure for the adjudication of Federal Rule Sexual Misconduct in Section VI.C and a procedure for Other Prohibited Conduct in Section VI.E. Separate from these formal resolution procedures, the university offers several forms of alternative resolution (“Alternative Resolution”) procedures that may be available on a voluntary basis to resolve a Formal Complaint under this Policy. Individuals interested in an Alternative Resolution should contact the Office for Institutional Equity and Title IX to discuss options. For information regarding the types of Alternate Resolution procedures"
B.III,Policy-Question Embeddings,Paragraph (from B.II),What is the policy for improper or illegal communications?,5,3,0.011651992797851562,0.8963912725448608,686,Under what circumstances does prohibited conduct qualify as Federal Rule Sexual Misconduct?,p232_para004,232,"Rule Sexual Misconduct and Other Prohibited Conduct, in the event that at the time of a report or the conclusion of an investigation it becomes apparent that the alleged conduct, if true, would not constitute Federal Rule Sexual"
B.III,Policy-Question Embeddings,Paragraph (from B.II),What is the policy for improper or illegal communications?,5,4,0.011651992797851562,0.899747908115387,83,What is the proper way to handle alleged infractions under conditions of confidentiality?,p026_para002,26,"crime concealment of which would obstruct justice, and in the latter case release may only be to appropriate law enforcement officials. Any intrusion by an employee of the university into a faculty member’s electronic data must be reported to the faculty member as soon as possible, and within five days of the event in writing both to the faculty member, if possible, and unless prohibited by order of court, and to an Ombudsman, who shall be a member of the regular faculty selected annually by the Nominating Committee of the Faculty Senate and who has been endorsed by majority vote of the Faculty Senate. The Ombudsman shall be a current or retired regular faculty member who holds no administrative appointment and is not a member of the Faculty Review Committee. The Ombudsman shall have authority to investigate whether an intrusion was warranted by the policy and, (i) shall inform the"
B.III,Policy-Question Embeddings,Paragraph (from B.II),What is the policy for improper or illegal communications?,5,5,0.011651992797851562,0.9406008124351501,732,What law governs how Federal Rule Sexual Misconduct is defined?,p232_para004,232,"Rule Sexual Misconduct and Other Prohibited Conduct, in the event that at the time of a report or the conclusion of an investigation it becomes apparent that the alleged conduct, if true, would not constitute Federal Rule Sexual"
B.III,Policy-Question Embeddings,Paragraph (from B.II),What is the policy for improper or illegal communications?,10,1,0.010910987854003906,0.7462626099586487,118,What types of communications are considered equally improper on computers as on other media?,p020_para002,20,"of computing and related communication systems and examples of inappropriate use. These standards of acceptable behavior also extend beyond the campus community into the Internet. Just as it is unacceptable to violate others’ rights to privacy, property and resources within Carnegie Mellon, it is also unacceptable to violate those rights on systems that are not at Carnegie Mellon but are accessible through Carnegie Mellon’s connection to the Internet. This policy applies to all users of Carnegie Mellon computing systems, including students, faculty and staff, and any others granted the use of university computing resources. It applies to the use of all computing facilities owned, leased, operated or contracted by Carnegie Mellon University. As used in this policy, terms such as “computing,” “computing/communications systems,” “computing resources,” etc., refer to all computers, communication systems, and peripherals, software, telephones and systems with similar"
